scan,mz,i,label
0,157.7,15.722591006942036,False
0,160.0,46.76493068102478,True
0,161.0,2.109081921060926,True
1,157.5,17.626674830851396,False
1,157.7,15.722591006942036,False
1,158.9,29.437866536069837,False
1,160.0,46.76493068102478,True
1,161.0,2.109081921060926,True
2,157.5,8.813337415425698,False
2,157.7,7.861295503471018,False
2,158.9,14.718933268034919,False
2,160.0,23.38246534051239,True
2,161.0,1.054540960530463,True
2,164.4,17.9620940352645,False
3,160.0,46.407677316728225,False
3,165.0,3.0708143168120072,False
4,161.7,19.250290548456015,False
4,164.3,1.0913844007882665,False
4,164.6,2.153673354447013,False
4,165.0,4.0566066053601695,False
5,157.1,14.749626091883616,False
5,164.2,3.2292819005678943,False
6,158.2,1.8113199815905385,False
7,158.5,2.5459751101181873,False
8,156.9,13.958715814729201,False
9,159.1,4.4921637918358925,False
9,159.8,2.5735810212486263,False
9,160.2,73.49537975696467,False
10,156.8,6.674944741453465,False
10,157.2,23.18671193604478,False
10,159.6,7.437086777665089,False
11,158.2,11.527929262599775,False
11,160.7,8.805058960859714,False
12,160.4,6.151505570920672,False
13,170.0,46.487970379221736,True
13,171.0,2.290786511770317,True
13,174.2,55.3009039779692,False
14,168.4,3.9806126536246884,False
14,170.0,46.487970379221736,True
14,171.0,2.290786511770317,True
14,174.2,55.3009039779692,False
15,168.2,5.816313221504698,False
15,168.4,1.9903063268123442,False
15,170.0,23.243985189610868,True
15,171.0,1.1453932558851585,True
15,174.2,27.6504519889846,False
16,168.0,13.23742379811768,False
17,166.7,5.850364833810861,False
17,168.4,23.228734444923948,False
18,174.2,11.332057364771511,False
19,167.0,28.784193778975347,False
19,167.4,13.171536627587995,False
19,167.9,18.22750429298105,False
19,169.4,1.2190991468206591,False
19,175.0,3.9242317590149542,False
20,168.7,8.580069206113658,False
21,167.2,1.5048885558000917,False
21,167.7,46.912967009956795,False
21,169.9,18.031215798149198,False
22,172.3,6.230062992224688,False
23,166.0,8.474756313125432,False
24,167.1,2.5307660789653768,False
24,167.5,1.8278704009198832,False
25,170.1,14.249604019822515,False
26,175.7,21.395403885667935,False
26,179.6,21.135996385667163,False
26,180.0,46.21265034519325,True
26,181.0,2.9966201638453382,True
27,175.7,21.395403885667935,False
27,179.6,21.135996385667163,False
27,180.0,46.21265034519325,True
27,181.0,2.9966201638453382,True
27,181.1,24.224631200117663,False
28,175.7,10.697701942833968,False
28,176.2,14.692928293281097,False
