scan,mz,i,label
0,155.1,12.158144620604224,True
0,160.0,46.76493068102478,True
0,161.0,2.109081921060926,True
1,155.1,12.158144620604224,True
1,155.8,28.458022427567712,True
1,160.0,46.76493068102478,True
1,161.0,2.109081921060926,True
2,155.1,6.079072310302112,True
2,155.8,14.229011213783856,True
2,160.0,23.38246534051239,True
2,161.0,1.054540960530463,True
2,161.4,19.6408030248396,True
2,163.6,7.776660419056821,True
3,162.4,7.151671065654389,False
3,164.3,23.07775308450596,False
4,156.1,29.73785750306803,False
4,159.1,8.718351130808962,False
5,156.9,66.66975896646717,False
6,155.7,6.075240663561079,False
6,159.4,19.43567783284477,False
7,164.4,39.52546970472742,False
8,161.0,16.24452136302031,False
8,163.2,1.8775099220656006,False
9,155.3,5.859224739769105,False
9,160.5,10.087853625388178,False
9,161.3,9.136014142918667,False
9,163.1,41.34305449286532,False
10,158.5,28.477347829875008,False
11,155.1,16.696125692562912,False
11,160.4,2.5584150247117328,False
12,155.8,8.904403871465599,False
12,162.3,26.432647459084627,False
13,165.9,20.51684293803133,True
13,169.3,44.529358244598114,True
13,170.0,46.487970379221736,True
13,170.3,42.4817409390562,True
13,171.0,2.290786511770317,True
13,171.0,8.422178330616854,True
13,174.6,1.2474835731232625,True
14,165.2,42.33276357277614,True
14,165.9,20.51684293803133,True
14,168.6,14.148466574063468,True
14,169.3,44.529358244598114,True
14,169.7,2.3131466552852573,True
14,170.0,46.487970379221736,True
14,170.3,42.4817409390562,True
14,171.0,2.290786511770317,True
14,171.0,8.422178330616854,True
14,174.6,1.2474835731232625,True
15,165.2,21.16638178638807,True
15,165.9,10.258421469015666,True
15,168.6,7.074233287031734,True
15,169.3,22.264679122299057,True
15,169.7,1.1565733276426287,True
15,170.0,23.243985189610868,True
15,170.3,21.2408704695281,True
15,171.0,1.1453932558851585,True
15,171.0,4.211089165308427,True
15,174.6,0.6237417865616313,True
15,174.8,2.105366870261123,True
16,171.6,1.0341182382675735,False
16,174.1,7.502006674054341,False
17,173.7,17.527966678780828,False
18,169.7,3.837798699821514,False
19,165.9,8.767803664923514,False
19,172.1,1.6821227214453243,False
20,166.4,8.54014179843132,False
20,169.1,13.856558754994573,False
21,165.2,12.434668261360525,False
21,169.1,16.136302120091973,False
21,174.9,50.89755661106337,False
22,170.0,8.666792165367248,False
23,166.6,30.02016606139741,False
23,168.6,48.01922413461368,False
23,171.5,14.243992453926685,False
23,171.9,37.185193573294825,False
24,168.6,19.754163232138303,False
25,169.6,92.92732604354451,False
25,174.3,2.321536174661546,False
26,180.0,46.21265034519325,True
26,181.0,2.9966201638453382,True
